date,subject,hours,note
2026-01-01,Discrete Mathematics,2,Sets and relations
2026-01-01,Advanced Programming,1,Functions review
2026-01-02,English,1.5,Reading practice
2026-01-02,Discrete Mathematics,2,Logic exercises
2026-01-03,Advanced Programming,2,OOP basics
2026-01-03,English,1,Vocabulary
2026-01-04,Discrete Mathematics,3,Graph theory
2026-01-04,Advanced Programming,1,Debugging
2026-01-05,English,2,Listening
2026-01-05,Discrete Mathematics,2,Practice problems
2026-01-06,Discrete Mathematics,2.0,Problem solving
2026-01-06,English,1.0,Listening practice
2026-01-07,Discrete Mathematics,2.5,Graph exercises
2026-01-07,English,0.5,Short listening session
2026-01-08,Discrete Mathematics,1.5,Review notes
2026-01-08,English,1.0,Listening practice
2026-01-09,Discrete Mathematics,2.0,New concepts
2026-01-09,English,1.0,Listening practice
2026-01-10,Discrete Mathematics,3.0,Intensive practice
2026-01-10,English,1.0,Listening practice
2026-01-11,Discrete Mathematics,2.0,Problem solving
2026-01-11,English,0.5,Light listening
2026-01-12,Discrete Mathematics,2.0,Revision
2026-01-12,English,1.0,Listening practice
2026-01-13,Discrete Mathematics,0.0,No study
2026-01-13,English,0.0,No study
2026-01-14,Discrete Mathematics,2.0,Practice problems
2026-01-14,English,1.0,Listening practice
2026-01-15,Discrete Mathematics,2.5,Final review
2026-01-15,English,1.0,Listening practice
